Time Around Treatment,Treatment Number,Date,Day of Week,Hour,WorkGroup,Desk,TotalEnergy,Desk_Indicator,NetEnergy,Name,Deviation,Treatment0,Treatment1,Treatment2,Weekend_Indicator,Treatment_Indicator,cTAT,TreatmentArray,LoginCount,DurationCount
6,1,2018-08-04,Saturday,18.0,WORKGROUP-01,DESK-3,1.05,13,1.03,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,19.0,WORKGROUP-01,DESK-3,1.05,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,20.0,WORKGROUP-01,DESK-3,1.05,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,21.0,WORKGROUP-01,DESK-3,1.31,13,0.26,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,22.0,WORKGROUP-01,DESK-3,1.31,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
6,1,2018-08-04,Saturday,23.0,WORKGROUP-01,DESK-3,1.31,13,0.0,Ken,169.93,A,A,B,1,1,2,A,,
7,1,2018-08-05,Sunday,0.0,WORKGROUP-01,DESK-3,1.31,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,1.0,WORKGROUP-01,DESK-3,1.37,13,0.06000000000000005,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,2.0,WORKGROUP-01,DESK-3,1.37,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,3.0,WORKGROUP-01,DESK-3,1.47,13,0.09999999999999987,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,4.0,WORKGROUP-01,DESK-3,1.55,13,0.08000000000000007,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,5.0,WORKGROUP-01,DESK-3,1.55,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,6.0,WORKGROUP-01,DESK-3,1.55,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,7.0,WORKGROUP-01,DESK-3,1.55,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,8.0,WORKGROUP-01,DESK-3,1.55,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,9.0,WORKGROUP-01,DESK-3,1.21,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,10.0,WORKGROUP-01,DESK-3,0.08,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,11.0,WORKGROUP-01,DESK-3,0.08,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,12.0,WORKGROUP-01,DESK-3,0.08,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,13.0,WORKGROUP-01,DESK-3,0.08,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,14.0,WORKGROUP-01,DESK-3,0.14,13,0.06000000000000001,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,15.0,WORKGROUP-01,DESK-3,0.14,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,16.0,WORKGROUP-01,DESK-3,0.14,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,17.0,WORKGROUP-01,DESK-3,0.14,13,0.0,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,18.0,WORKGROUP-01,DESK-3,0.16,13,0.01999999999999999,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,19.0,WORKGROUP-01,DESK-3,71.05,13,70.89,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,20.0,WORKGROUP-01,DESK-3,137.62,13,66.57000000000001,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,21.0,WORKGROUP-01,DESK-3,207.39,13,69.76999999999998,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,22.0,WORKGROUP-01,DESK-3,230.41,13,23.02000000000001,Ken,169.93,A,A,B,1,1,3,A,,
7,1,2018-08-05,Sunday,23.0,WORKGROUP-01,DESK-3,234.01,13,3.5999999999999943,Ken,169.93,A,A,B,1,1,3,A,,
1,2,2018-08-05,Sunday,0.0,WORKGROUP-01,DESK-3,1.31,13,,Ken,169.93,A,A,B,1,0,-3,A,,
1,2,2018-08-05,Sunday,1.0,WORKGROUP-01,DESK-3,1.37,13,0.06000000000000005,Ken,169.93,A,A,B,1,0,-3,A,,
1,2,2018-08-05,Sunday,2.0,WORKGROUP-01,DESK-3,1.37,13,0.0,Ken,169.93,A,A,B,1,0,-3,A,,
1,2,2018-08-05,Sunday,3.0,WORKGROUP-01,DESK-3,1.47,13,0.09999999999999987,Ken,169.93,A,A,B,1,0,-3,A,,
1,2,2018-08-05,Sunday,4.0,WORKGROUP-01,DESK-3,1.55,13,0.08000000000000007,Ken,169.93,A,A,B,1,0,-3,A,,
1,2,2018-08-05,Sunday,5.0,WORKGROUP-01,DESK-3,1.55,13,0.0,Ken,169.93,A,A,B,1,0,-3,A,,
